AppID,Recommendations,Estimated owners,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Peak CCU
4900,0,20000 - 50000,0,0,0,0,15
4920,7989,1000000 - 2000000,718,0,214,0,235
4932,7989,0 - 20000,0,0,0,0,0
6000,11177,1000000 - 2000000,272,0,145,0,61
6010,970,200000 - 500000,66,0,102,0,19
6020,9525,1000000 - 2000000,542,377,163,377,180
6030,3245,500000 - 1000000,234,0,133,0,67
6040,856,100000 - 200000,875,0,1611,0,15
6060,41051,2000000 - 5000000,497,87,188,87,356
6080,552,20000 - 50000,701,309,969,309,11
6090,204,20000 - 50000,0,0,0,0,0
6120,2031,200000 - 500000,151,0,137,0,8
6129,2033,0 - 20000,0,0,0,0,0
6200,1420,100000 - 200000,55,0,47,0,6
6210,123,20000 - 50000,647,0,647,0,0
6220,3380,200000 - 500000,691,0,63,0,24
6250,526,50000 - 100000,1869,0,3343,0,7
6270,152,20000 - 50000,672,0,1343,0,0
6300,865,200000 - 500000,165,0,245,0,7
6310,1504,200000 - 500000,452,0,521,0,11
6370,0,500000 - 1000000,1415,0,432,0,5
6400,187,20000 - 50000,543,0,794,0,6
6420,766,100000 - 200000,246,0,247,0,4
6510,1101,200000 - 500000,100,0,94,0,5
6550,2411,200000 - 500000,159,0,116,0,15
6600,0,50000 - 100000,12,0,16,0,1
6800,2609,500000 - 1000000,173,0,65,0,78
6810,708,200000 - 500000,160,0,68,0,20
6830,1988,200000 - 500000,268,0,229,0,30
6840,810,500000 - 1000000,71,0,95,0,10
6850,2082,1000000 - 2000000,198,18,39,18,16
6860,8639,1000000 - 2000000,556,0,125,0,86
6870,683,500000 - 1000000,133,0,136,0,11
6880,3537,1000000 - 2000000,166,2969,73,2969,12
6900,2264,1000000 - 2000000,123,0,28,0,13
6910,10263,1000000 - 2000000,246,0,40,0,104
6920,1596,1000000 - 2000000,220,0,279,0,9
6980,1851,500000 - 1000000,797,0,58,0,10
7000,3539,200000 - 500000,241,0,203,0,39
7010,480,100000 - 200000,145,0,25,0,1
7020,353,50000 - 100000,14,0,17,0,1
7110,1448,200000 - 500000,373,0,648,0,9
7200,1717,200000 - 500000,6630,187,724,187,158
7210,461,100000 - 200000,65,0,118,0,4
7220,228,50000 - 100000,0,0,0,0,2
7260,171,20000 - 50000,0,0,0,0,4
7340,0,0 - 20000,0,0,0,0,0
7510,954,500000 - 1000000,291,0,339,0,5
7520,3509,500000 - 1000000,370,53,414,53,48
7530,265,100000 - 200000,454,0,331,0,0
7600,1925,500000 - 1000000,121,1,54,1,129
7610,817,200000 - 500000,772,0,461,0,61
7620,988,200000 - 500000,69,0,88,0,108
7650,560,500000 - 1000000,15,0,6,0,17
7660,654,500000 - 1000000,541,0,518,0,26
7670,21456,2000000 - 5000000,345,0,109,0,71
7730,117,200000 - 500000,36,0,65,0,0
7760,2535,1000000 - 2000000,159,1,21,1,57
7770,239,100000 - 200000,17,0,22,0,2
7800,932,100000 - 200000,109,0,106,0,9
7830,2449,200000 - 500000,1036,0,501,0,35
7840,0,50000 - 100000,0,0,0,0,0
7860,882,100000 - 200000,141,8,193,8,3
7940,13997,1000000 - 2000000,1034,51,449,51,495
8000,4542,500000 - 1000000,360,0,264,0,57
8080,2420,500000 - 1000000,115,0,57,0,2
8100,301,100000 - 200000,271,0,271,0,1
8140,4315,500000 - 1000000,279,0,61,0,29
8170,2135,200000 - 500000,483,0,389,0,17
8190,38169,2000000 - 5000000,610,177,158,177,219
8200,323,50000 - 100000,113,0,113,0,1
8220,0,0 - 20000,59,0,59,0,0
8230,0,1000000 - 2000000,138,0,135,0,2
8240,0,0 - 20000,199,0,199,0,0
8250,0,0 - 20000,208,0,208,0,0
8260,113,20000 - 50000,116,0,129,0,0
8270,0,20000 - 50000,152,0,152,0,0
8280,0,0 - 20000,0,0,0,0,0
8300,0,0 - 20000,3,0,3,0,1
8310,0,20000 - 50000,11,0,14,0,0
8320,0,20000 - 50000,159,0,291,0,2
8330,0,100000 - 200000,2,0,2,0,2
8340,261,50000 - 100000,131,0,167,0,1
8400,782,100000 - 200000,64,0,74,0,7
8500,7038,2000000 - 5000000,3328,1548,116,2093,4318
8600,1052,500000 - 1000000,307,0,38,0,16
8640,0,100000 - 200000,1,0,1,0,0
8780,0,0 - 20000,0,0,0,0,0
8790,188,50000 - 100000,11,0,11,0,1
8800,2535,500000 - 1000000,4926,250,1319,250,1644
8850,9585,2000000 - 5000000,330,0,103,0,31
8870,93311,5000000 - 10000000,719,251,512,251,545
8880,375,200000 - 500000,23,0,26,0,3
8890,196,100000 - 200000,43,0,62,0,0
8930,113301,5000000 - 10000000,7009,181,2189,226,21665
8970,0,20000 - 50000,0,0,0,0,0
8980,19047,5000000 - 10000000,2134,345,603,345,90
9000,441,200000 - 500000,136,0,245,0,4
9010,5534,500000 - 1000000,135,0,63,0,69
9030,287,100000 - 200000,2,0,2,0,2
9040,383,50000 - 100000,30,0,58,0,2
9050,5439,500000 - 1000000,342,0,227,0,43
9060,360,100000 - 200000,37,0,43,0,3
9160,548,500000 - 1000000,17,0,30,0,4
9180,1190,200000 - 500000,66,0,61,0,5
9200,10527,500000 - 1000000,651,645,361,645,79
9219,10527,0 - 20000,0,0,0,0,0
9310,1204,200000 - 500000,329,0,174,0,40
9340,608,1000000 - 2000000,408,0,27,0,52
9350,1623,500000 - 1000000,680,85,536,85,91
9420,7194,1000000 - 2000000,1331,232,598,266,1227
9450,9448,1000000 - 2000000,1947,2,697,2,1161
9460,682,200000 - 500000,43,0,50,0,4
9480,9214,2000000 - 5000000,728,253,139,253,206
9500,231,100000 - 200000,27,0,29,0,0
9710,161,50000 - 100000,440,0,440,0,3
9730,179,0 - 0,0,0,0,0,0
9760,354,50000 - 100000,11,0,11,0,13
9800,613,100000 - 200000,138,0,172,0,3
9850,172,20000 - 50000,257,0,369,0,2
9880,176,1000000 - 2000000,274,0,93,0,150
9900,790,2000000 - 5000000,5036,11,672,11,1461
9940,842,100000 - 200000,166,0,195,0,1
9960,0,0 - 20000,0,0,0,0,0
9970,0,0 - 20000,605,0,605,0,1
9980,0,20000 - 50000,21,0,21,0,0
10090,35258,2000000 - 5000000,2558,21,1002,26,595
10100,219,100000 - 200000,0,0,0,0,20
10110,237,20000 - 50000,38,0,38,0,10
10120,0,0 - 20000,0,0,0,0,0
10130,864,100000 - 200000,237,0,425,0,4
